MAP INDEX,MUNICIPALITY,BARANGAY,LOT NO. ,SURVEY NO.,TCT NO.,TD NO. ,REGISTERED OWNER,AREA (SQM),AREA (HA),AGREEMENT GROUP,AGREEMENT DOC TYPE,PROPERTY DOCUMENT NO.,AGREEMENT TYPE,AGREEMENT AREA (SQM),AGREEMENT AREA (HA),PRICE/SQM,LAND VALUE,INFUSION STATUS,INFUSED AREA (SQM),INFUSION AREA (HA),INFUSION DATE,INFUSION YEAR,INFUSION REMARKS,INFUSION BATCH,DATE OF TITLE TRANSFER,ACQUISITION GROUP,ACQUISITION CLASS,LAND GROUP,ESTATE LANDS,CLEAN-UP BATCH,CLEAN-UP STATUS,CLEAN-UP TIMELINE,LEGAL REMARKS,TD CLASSIFICATION,DAR STATUS,DATE DAR GRANTED,DAR REFERENCE NO.,CERTIFICATE OF FINALITY,LIAISON REMARKS,CURRENT DOC TYPE,DOCUMENT CONTROL,GIS STATUS,GIS REMARKS,DATE UPDATED,UPDATE LOG,PROJECT,ZONAL VALUE,ZONAL VALUE PRICE/SQM,LAND VALUE PER CONTRACT,CONTRACT PRICE/SQM,PROJECT ALLOCATION,LAND USE CLASSIFICATION,BD INDEX,DOCUMENT LINK,IMAGE LINK
RALI-0044,CARMONA,LANTIC,1075-C,SWO-40783,057-2012033718,,AKL PROPERTIES INC.,15203,1.5203,GROUP 4,TITLED,T-057-2012033718,ORIGINAL,15203,1.5203,1850,28125550,INFUSED,15203,1.5203,45279,2023,1.  With LBP Annotation.  RALI undertakes to cancel the LBP annotation 6months from the date of effectivity of the New Agrarian Emancipation Act - RA 11953.  The IRR has not been released until now.                                                2. Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP 4 CARMONA W/ANNOTATION, AREA 102,813 SQM",0,AKL,AKL - DOAS,RALI,Included,LBP,AKL-LBP,Within 5 years,1.  With LBP Annotation.  RALI undertakes to cancel the LBP annotation 6months from the date of effectivity of the New Agrarian Emancipation Act - RA 11953.  The IRR has not been released until now.                                                2. Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,AGRICULTURAL,CONVERSION,39540,04-2008-0118-01-123,19/07/2022,,TITLED,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,25845100,1700,28125550,1850,No Project Allocation,TBD,No ID/Unmapped,,
RALI-0045,CARMONA,LANTIC,1074-C,SWO-40783,057-2012034278,,AKL PROPERTIES INC.,2571,0.2571,GROUP 3,TITLED,T-057-2012034278,ORIGINAL,2571,0.2571,1850,4756350,INFUSED,2571,0.2571,45279,2023,1.  With LBP Annotation.  RALI undertakes to cancel the LBP annotation 6months from the date of effectivity of the New Agrarian Emancipation Act - RA 11953.  The IRR has not been released until now.                                                2. Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP 3 CARMONA, AREA 2,571 SQM",0,AKL,AKL - DOAS,RALI,Included,LBP,AKL-LBP,Within 5 years,1.  With LBP Annotation.  RALI undertakes to cancel the LBP annotation 6months from the date of effectivity of the New Agrarian Emancipation Act - RA 11953.  The IRR has not been released until now.                                                2. Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,AGRICULTURAL,CONVERSION,39540,04-2008-0118-01-123,19/07/2022,,TITLED,UPLOADED ON DRIVE,MAPPED,FOR PLOTTING - TECH DESC READY,,,,4370700,1700,4756350,1850,No Project Allocation,TBD,No ID/Unmapped,,
RALI-0046,CARMONA,LANTIC,1075-H,SWO-40783,057-2012034280,,AKL PROPERTIES INC.,4412,0.4412,GROUP 4,TITLED,T-057-2012034280,ORIGINAL,4412,0.4412,1850,8162200,INFUSED,4412,0.4412,45279,2023,1.  With LBP Annotation.  RALI undertakes to cancel the LBP annotation 6months from the date of effectivity of the New Agrarian Emancipation Act - RA 11953.  The IRR has not been released until now.                                                2. Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP 4 CARMONA W/ANNOTATION, AREA 102,813 SQM",0,AKL,AKL - DOAS,RALI,Included,LBP,AKL-LBP,Within 5 years,1.  With LBP Annotation.  RALI undertakes to cancel the LBP annotation 6months from the date of effectivity of the New Agrarian Emancipation Act - RA 11953.  The IRR has not been released until now.                                                2. Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,AGRICULTURAL,CONVERSION,39540,04-2008-0118-01-123,19/07/2022,,TITLED,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,7500400,1700,8162200,1850,No Project Allocation,TBD,No ID/Unmapped,,
RALI-0047,CARMONA,LANTIC,1075-J,SWO-40783,057-2012033719,,AKL PROPERTIES INC.,9835,0.9835,GROUP 4,TITLED,T-057-2012033719,ORIGINAL,9835,0.9835,1850,18194750,INFUSED,9835,0.9835,45279,2023,1.  With LBP Annotation.  RALI undertakes to cancel the LBP annotation 6months from the date of effectivity of the New Agrarian Emancipation Act - RA 11953.  The IRR has not been released until now.                                                2. Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP 4 CARMONA W/ANNOTATION, AREA 102,813 SQM",0,AKL,AKL - DOAS,RALI,Included,LBP,AKL-LBP,Within 5 years,1.  With LBP Annotation.  RALI undertakes to cancel the LBP annotation 6months from the date of effectivity of the New Agrarian Emancipation Act - RA 11953.  The IRR has not been released until now.                                                2. Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,AGRICULTURAL,CONVERSION,39540,04-2008-0118-01-123,19/07/2022,,TITLED,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,16719500,1700,18194750,1850,No Project Allocation,TBD,No ID/Unmapped,,
RALI-0049,CARMONA,LANTIC,46,BCS-04-000232 (OLT),057-2012034277,,AKL PROPERTIES INC.,2938,0.2938,GROUP 3,TITLED,T-057-2012034277,ORIGINAL,2938,0.2938,1850,5435300,INFUSED,2938,0.2938,45639,2024,1.  With LBP Annotation.  RALI undertakes to cancel the LBP annotation 6months from the date of effectivity of the New Agrarian Emancipation Act - RA 11953.  The IRR has not been released until now.                                                2. Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP-3 CARMONA, AREA 96,717 SQM",0,AKL,AKL - DOAS,RALI,Included,LBP,AKL-LBP,Within 5 years,1.  With LBP Annotation.  RALI undertakes to cancel the LBP annotation 6months from the date of effectivity of the New Agrarian Emancipation Act - RA 11953.  The IRR has not been released until now.                                                2. Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,AGRICULTURAL,CONVERSION,40058,04-2009-0209-01-011,19/07/2022,,TITLED,UPLOADED ON DRIVE,MAPPED,REPLOTTING,,,,4994600,1700,5435300,1850,R2C,RESIDENTIAL,No ID/Unmapped,,https://ayalalandsalesinc-my.sharepoint.com/personal/enage_isaac_akl_com_ph/Documents/EVERYTHING%20RELATED%20TO%20ARCGIS%20ONLINE/INFUSION%202024%20PHOTOS/20241022030933.jpg
RALI-0050,CARMONA,LANTIC,107,BCS-04-000232 (OLT),057-2013002474,,AKL PROPERTIES INC.,3909,0.3909,GROUP 3,TITLED,T-057-2013002474,ORIGINAL,3909,0.3909,1850,7231650,INFUSED,3909,0.3909,44831,2022,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP-3 CARMONA, AREA 273,195 SQM",0,AKL,AKL - DOAS,RALI,Included,CAR,AKL-CAR,Within 5 years,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,AGRICULTURAL,CONVERSION,40058,04-2009-0130-01-010,31/12/1899,,TITLED,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,6645300,1700,7231650,1850,R2B,RESIDENTIAL,No ID/Unmapped,"https://ayalalandsalesinc.sharepoint.com/:f:/r/sites/AKLProperties/Property%20Documents/1.%20ROYAL%20ASIA%20LAND,%20INC/Lot%20107,%20057-2013002474.pdf?csf=1&web=1&e=kbV7OG",
RALI-0051,CARMONA,LANTIC,174,BCS-04-000232 (OLT),057-2013002467,,AKL PROPERTIES INC.,2276,0.2276,GROUP 3,TITLED,T-057-2013002467,ORIGINAL,2276,0.2276,1850,4210600,INFUSED,2276,0.2276,45639,2024,1.  With LBP Annotation.  RALI undertakes to cancel the LBP annotation 6months from the date of effectivity of the New Agrarian Emancipation Act - RA 11953.  The IRR has not been released until now.                                                2. Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP-3 CARMONA, AREA 96,717 SQM",0,AKL,AKL - DOAS,RALI,Included,LBP,AKL-LBP,Within 5 years,1.  With LBP Annotation.  RALI undertakes to cancel the LBP annotation 6months from the date of effectivity of the New Agrarian Emancipation Act - RA 11953.  The IRR has not been released until now.                                                2. Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,AGRICULTURAL,CONVERSION,40058,04-2009-0209-01-011,19/07/2022,,TITLED,UPLOADED ON DRIVE,MAPPED,REPLOTTING,,,,3869200,1700,4210600,1850,R2C,RESIDENTIAL,No ID/Unmapped,,https://ayalalandsalesinc-my.sharepoint.com/personal/enage_isaac_akl_com_ph/Documents/EVERYTHING%20RELATED%20TO%20ARCGIS%20ONLINE/INFUSION%202024%20PHOTOS/20241022030636.jpg
RALI-0052,CARMONA,LANTIC,142,BCS-04-000232 (OLT),057-2012033706,,AKL PROPERTIES INC.,6914,0.6914,GROUP 3,TITLED,T-057-2013033706,ORIGINAL,6914,0.6914,1850,12790900,INFUSED,6914,0.6914,44831,2022,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP-3 CARMONA, AREA 273,195 SQM",0,AKL,AKL - DOAS,RALI,Included,CAR,AKL-CAR,Within 5 years,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,AGRICULTURAL,CONVERSION,39456,04-2008-0814-01-083,31/12/1899,,TITLED,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,11753800,1700,12790900,1850,R2A,RESIDENTIAL,No ID/Unmapped,"https://ayalalandsalesinc.sharepoint.com/:f:/r/sites/AKLProperties/Property%20Documents/1.%20ROYAL%20ASIA%20LAND,%20INC/LOT%20142,%20KPPI%20LAND%20CORPORATION?csf=1&web=1&e=Y0sjjc",
RALI-0053,CARMONA,LANTIC,150,BCS-04-000232 (OLT),057-2012033707,,AKL PROPERTIES INC.,5979,0.5979,GROUP 3,TITLED,T-057-2012033707,ORIGINAL,5979,0.5979,1850,11061150,INFUSED,5979,0.5979,45261,2023,1.  With LBP Annotation.  RALI undertakes to cancel the LBP annotation 6months from the date of effectivity of the New Agrarian Emancipation Act - RA 11953.  The IRR has not been released until now.                                                2. Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP 3 CARMONA W/LBP, AREA 46,496 SQM",0,AKL,AKL - DOAS,RALI,Included,LBP,AKL-LBP,Within 5 years,1.  With LBP Annotation.  RALI undertakes to cancel the LBP annotation 6months from the date of effectivity of the New Agrarian Emancipation Act - RA 11953.  The IRR has not been released until now.                                                2. Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,AGRICULTURAL,CONVERSION,20/08/2008,04-2008-0722-01-074,19/07/2022,,TITLED,UPLOADED ON DRIVE,MAPPED,FOR PLOTTING - TECH DESC READY,,,,10164300,1700,11061150,1850,R2A,RESIDENTIAL,No ID/Unmapped,"https://ayalalandsalesinc.sharepoint.com/:f:/r/sites/AKLProperties/Property%20Documents/1.%20ROYAL%20ASIA%20LAND,%20INC/LOT%20150,%20KPPI%20LAND%20CORPORATION?csf=1&web=1&e=ZGb9ZU",
RALI-0054,CARMONA,LANTIC,138,BCS-04-000232 (OLT),057-2012033721,,AKL PROPERTIES INC.,10938,1.0938,GROUP 3,TITLED,T-057-2012033721,ORIGINAL,10938,1.0938,1850,20235300,INFUSED,10938,1.0938,44831,2022,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP-3 CARMONA, AREA 273,195 SQM",0,AKL,AKL - DOAS,RALI,Included,CAR,AKL-CAR,Within 5 years,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,AGRICULTURAL,CONVERSION,39456,04-2008-0814-01-080,31/12/1899,,TITLED,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,18594600,1700,20235300,1850,R2A,RESIDENTIAL,No ID/Unmapped,"https://ayalalandsalesinc.sharepoint.com/:f:/r/sites/AKLProperties/Property%20Documents/1.%20ROYAL%20ASIA%20LAND,%20INC/LOT%20138,%20KPPI%20LAND%20CORPORATION?csf=1&web=1&e=dLzb62",
RALI-0055,CARMONA,LANTIC,140,BCS-04-000232 (OLT),057-2012033723,,AKL PROPERTIES INC.,11186,1.1186,GROUP 3,TITLED,T-057-2012033723,ORIGINAL,11186,1.1186,1850,20694100,INFUSED,11186,1.1186,44831,2022,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP-3 CARMONA, AREA 273,195 SQM",0,AKL,AKL - DOAS,RALI,Included,CAR,AKL-CAR,Within 5 years,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,AGRICULTURAL,CONVERSION,39456,04-2008-0814-01-080,31/12/1899,,TITLED,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,19016200,1700,20694100,1850,R2A,RESIDENTIAL,No ID/Unmapped,"https://ayalalandsalesinc.sharepoint.com/:f:/r/sites/AKLProperties/Property%20Documents/1.%20ROYAL%20ASIA%20LAND,%20INC/LOT%20140,%20KPPI%20LAND%20CORPORATION?csf=1&web=1&e=FxrXxN",
RALI-0056,CARMONA,LANTIC,145,BCS-04-000232 (OLT),057-2012033715,,AKL PROPERTIES INC.,3523,0.3523,GROUP 3,TITLED,T-057-2012033715,ORIGINAL,3523,0.3523,1850,6517550,INFUSED,3523,0.3523,44831,2022,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP-3 CARMONA, AREA 273,195 SQM",0,AKL,AKL - DOAS,RALI,Included,CAR,AKL-CAR,Within 5 years,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,AGRICULTURAL,CONVERSION,39456,04-2008-0814-01-082,13/12/2022,,TITLED,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,5989100,1700,6517550,1850,R2A,RESIDENTIAL,No ID/Unmapped,"https://ayalalandsalesinc.sharepoint.com/:f:/r/sites/AKLProperties/Property%20Documents/1.%20ROYAL%20ASIA%20LAND,%20INC/LOT%20145,%20KPPI%20LAND%20CORPORATION?csf=1&web=1&e=LnJs5b",
RALI-0057,CARMONA,LANTIC,143,BCS-04-000232 (OLT),057-2012034276,,AKL PROPERTIES INC.,6199,0.6199,GROUP 3,TITLED,T-057-2012034276,ORIGINAL,6199,0.6199,1850,11468150,INFUSED,6199,0.6199,44831,2022,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP-3 CARMONA, AREA 273,195 SQM",0,AKL,AKL - DOAS,RALI,Included,CAR,AKL-CAR,Within 5 years,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,AGRICULTURAL,CONVERSION,39456,04-2008-0814-01-083,31/12/1899,,TITLED,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,10538300,1700,11468150,1850,R2A,RESIDENTIAL,No ID/Unmapped,"https://ayalalandsalesinc.sharepoint.com/:f:/r/sites/AKLProperties/Property%20Documents/1.%20ROYAL%20ASIA%20LAND,%20INC/LOT%20143,%20KPPI%20LAND%20CORPORATION?csf=1&web=1&e=4Kncw3",
RALI-0058,CARMONA,LANTIC,144,BCS-04-000232 (OLT),057-2012033705,,AKL PROPERTIES INC.,8261,0.8261,GROUP 3,TITLED,T-057-2012033705,ORIGINAL,8261,0.8261,1850,15282850,INFUSED,8261,0.8261,44831,2022,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP-3 CARMONA, AREA 273,195 SQM",0,AKL,AKL - DOAS,RALI,Included,CAR,AKL-CAR,Within 5 years,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,AGRICULTURAL,CONVERSION,39456,04-2008-0814-01-082,13/12/2022,,TITLED,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,14043700,1700,15282850,1850,R2A,RESIDENTIAL,No ID/Unmapped,"https://ayalalandsalesinc.sharepoint.com/:f:/r/sites/AKLProperties/Property%20Documents/1.%20ROYAL%20ASIA%20LAND,%20INC/LOT%20144,%20KPPI%20LAND%20CORPORATION?csf=1&web=1&e=xcwg7v",
RALI-0059,CARMONA,LANTIC,146,BCS-04-000232 (OLT),057-2012033704,,AKL PROPERTIES INC.,4626,0.4626,GROUP 3,TITLED,T-057-2012033704,ORIGINAL,4626,0.4626,1850,8558100,INFUSED,4626,0.4626,44831,2022,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP-3 CARMONA, AREA 273,195 SQM",0,AKL,AKL - DOAS,RALI,Included,CAR,AKL-CAR,Within 5 years,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,AGRICULTURAL,CONVERSION,39456,04-2008-0815-01-081,19/07/2022,,TITLED,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,7864200,1700,8558100,1850,R2A,RESIDENTIAL,No ID/Unmapped,"https://ayalalandsalesinc.sharepoint.com/:f:/r/sites/AKLProperties/Property%20Documents/1.%20ROYAL%20ASIA%20LAND,%20INC/LOT%20146,%20KPPI%20LAND%20CORPORATION?csf=1&web=1&e=ldbysR",
RALI-0060,CARMONA,LANTIC,147,BCS-04-000232 (OLT),057-2012034274,,AKL PROPERTIES INC.,4648,0.4648,GROUP 3,TITLED,T-057-2012034274,ORIGINAL,4648,0.4648,1850,8598800,INFUSED,4648,0.4648,44831,2022,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP-3 CARMONA, AREA 273,195 SQM",0,AKL,AKL - DOAS,RALI,Included,CAR,AKL-CAR,Within 5 years,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,AGRICULTURAL,CONVERSION,20/08/2008,04-2008-0722-01-074,19/07/2022,,TITLED,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,7901600,1700,8598800,1850,R2A,RESIDENTIAL,No ID/Unmapped,"https://ayalalandsalesinc.sharepoint.com/:f:/r/sites/AKLProperties/Property%20Documents/1.%20ROYAL%20ASIA%20LAND,%20INC/LOT%20147,%20KPPI%20LAND%20CORPORATION?csf=1&web=1&e=ayh7Gi",
RALI-0061,CARMONA,LANTIC,141,BCS-04-000232 (OLT),057-2012033714,,AKL PROPERTIES INC.,11566,1.1566,GROUP 4,TITLED,T-057-2012033714,ORIGINAL,11566,1.1566,1850,21397100,INFUSED,11566,1.1566,44831,2022,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP-4 CARMONA, AREA 241,623 SQM",0,AKL,AKL - DOAS,RALI,Included,CAR,AKL-CAR,Within 5 years,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,AGRICULTURAL,CONVERSION,39456,04-2008-0814-01-083,31/12/1899,,TITLED,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,19662200,1700,21397100,1850,R2A,RESIDENTIAL,No ID/Unmapped,"https://ayalalandsalesinc.sharepoint.com/:f:/r/sites/AKLProperties/Property%20Documents/1.%20ROYAL%20ASIA%20LAND,%20INC/LOT%20141,%20KPPI%20LAND%20CORPORATION?csf=1&web=1&e=CqmiP9",
RALI-0062,CARMONA,LANTIC,149,BCS-04-000232 (OLT),057-2012033708,,AKL PROPERTIES INC.,9995,0.9995,GROUP 4,TITLED,T-057-2012033708,ORIGINAL,9995,0.9995,1850,18490750,INFUSED,9995,0.9995,44831,2022,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP-4 CARMONA, AREA 241,623 SQM",0,AKL,AKL - DOAS,RALI,Included,CAR,AKL-CAR,Within 5 years,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,AGRICULTURAL,CONVERSION,20/08/2008,04-2008-0722-01-074,19/07/2022,,TITLED,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,16991500,1700,18490750,1850,R2A,RESIDENTIAL,No ID/Unmapped,"https://ayalalandsalesinc.sharepoint.com/:f:/r/sites/AKLProperties/Property%20Documents/1.%20ROYAL%20ASIA%20LAND,%20INC/LOT%20149,%20KPPI%20LAND%20CORPORATION?csf=1&web=1&e=gRgMu2",
RALI-0063,CARMONA,LANTIC,139,BCS-04-000232 (OLT),057-2012033720,,AKL PROPERTIES INC.,10127,1.0127,GROUP 4,TITLED,T-057-2012033720,ORIGINAL,10127,1.0127,1850,18734950,INFUSED,10127,1.0127,44831,2022,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP-4 CARMONA, AREA 241,623 SQM",0,AKL,AKL - DOAS,RALI,Included,CAR,AKL-CAR,Within 5 years,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,AGRICULTURAL,CONVERSION,39456,04-2008-0814-01-083,31/12/1899,,TITLED,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,17215900,1700,18734950,1850,R2A,RESIDENTIAL,No ID/Unmapped,"https://ayalalandsalesinc.sharepoint.com/:f:/r/sites/AKLProperties/Property%20Documents/1.%20ROYAL%20ASIA%20LAND,%20INC/LOT%20139,%20KPPI%20LAND%20CORPORATION?csf=1&web=1&e=i4nFU4",
RALI-0064,CARMONA,LANTIC,151,BCS-04-000232 (OLT),057-2012034749,,AKL PROPERTIES INC.,23877,2.3877,GROUP 4,TITLED,T-057-2012034749,ORIGINAL,23877,2.3877,1850,44172450,INFUSED,23877,2.3877,45261,2023,1.  With LBP Annotation.  RALI undertakes to cancel the LBP annotation 6months from the date of effectivity of the New Agrarian Emancipation Act - RA 11953.  The IRR has not been released until now.                                                2. Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP 4 CARMONA W/LBP, AREA 68,838 SQM",0,AKL,AKL - DOAS,RALI,Included,LBP,AKL-LBP,Within 5 years,1.  With LBP Annotation.  RALI undertakes to cancel the LBP annotation 6months from the date of effectivity of the New Agrarian Emancipation Act - RA 11953.  The IRR has not been released until now.                                                2. Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,AGRICULTURAL,CONVERSION,39456,04-2008-0815-01-081,19/07/2022,,TITLED,UPLOADED ON DRIVE,MAPPED,ERROR - TECH DESC,,,,40590900,1700,44172450,1850,R2A,RESIDENTIAL,No ID/Unmapped,"https://ayalalandsalesinc.sharepoint.com/:f:/r/sites/AKLProperties/Property%20Documents/1.%20ROYAL%20ASIA%20LAND,%20INC/LOT%20151,%20KPPI%20LAND%20CORPORATION?csf=1&web=1&e=8uDwgo",
RALI-0065,CARMONA,LANTIC,148,BCS-04-000232 (OLT),057-2012033724,,AKL PROPERTIES INC.,18766,1.8766,GROUP 4,TITLED,T-057-2012033724,ORIGINAL,18766,1.8766,1850,34717100,INFUSED,18766,1.8766,45261,2023,1.  With LBP Annotation.  RALI undertakes to cancel the LBP annotation 6months from the date of effectivity of the New Agrarian Emancipation Act - RA 11953.  The IRR has not been released until now.                                                2. Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP 4 CARMONA W/LBP, AREA 68,838 SQM",0,AKL,AKL - DOAS,RALI,Included,LBP,AKL-LBP,Within 5 years,1.  With LBP Annotation.  RALI undertakes to cancel the LBP annotation 6months from the date of effectivity of the New Agrarian Emancipation Act - RA 11953.  The IRR has not been released until now.                                                2. Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,AGRICULTURAL,CONVERSION,39456,04-2008-0814-01-082,13/12/2022,,TITLED,UPLOADED ON DRIVE,MAPPED,ERROR - TECH DESC,,,,31902200,1700,34717100,1850,R2A,RESIDENTIAL,No ID/Unmapped,"https://ayalalandsalesinc.sharepoint.com/:f:/r/sites/AKLProperties/Property%20Documents/1.%20ROYAL%20ASIA%20LAND,%20INC/LOT%20148,%20KPPI%20LAND%20CORPORATION?csf=1&web=1&e=fV4q67",
RALI-0066,CARMONA,LANTIC,137,BCS-04-000232 (OLT),057-2012033709,,AKL PROPERTIES INC.,9255,0.9255,GROUP 4,TITLED,T-057-2012033709,ORIGINAL,9255,0.9255,1850,17121750,INFUSED,9255,0.9255,44831,2022,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP-4 CARMONA, AREA 241,623 SQM",0,AKL,AKL - DOAS,RALI,Included,CAR,AKL-CAR,Within 5 years,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,AGRICULTURAL,CONVERSION,39456,04-2008-0814-01-080,31/12/1899,,TITLED,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,15733500,1700,17121750,1850,R2A,RESIDENTIAL,No ID/Unmapped,"https://ayalalandsalesinc.sharepoint.com/:f:/r/sites/AKLProperties/Property%20Documents/1.%20ROYAL%20ASIA%20LAND,%20INC/LOT%20137,%20KPPI%20LAND%20CORPORATION?csf=1&web=1&e=9MN6Hv",
RALI-0067,CARMONA,LANTIC,136,BCS-04-000232 (OLT),057-2012034271,,AKL PROPERTIES INC.,8013,0.8013,GROUP 4,TITLED,T-057-2012034271,ORIGINAL,8013,0.8013,1850,14824050,INFUSED,8013,0.8013,44831,2022,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,"GRP-4 CARMONA, AREA 241,623 SQM",0,AKL,AKL - DOAS,RALI,Included,CAR,AKL-CAR,Within 5 years,Waiting for the release of BIR Ruling re: zonal valuation should be based on zonal value at the time the JVA was executed ,AGRICULTURAL,CONVERSION,39456,04-2008-0814-01-082,13/12/2022,,TITLED,UPLOADED ON DRIVE,MAPPED,PLOTTED TECHNICAL DESCRIPTION,,,,13622100,1700,14824050,1850,R2A,RESIDENTIAL,No ID/Unmapped,"https://ayalalandsalesinc.sharepoint.com/:f:/r/sites/AKLProperties/Property%20Documents/1.%20ROYAL%20ASIA%20LAND,%20INC/LOT%20136,%20KPPI%20LAND%20CORPORATION?csf=1&web=1&e=seuH17",
